"source_id","source_category","source_subtype","source_name","source_description","geometry_type","latitude","longitude","geometry_wkt","road_class","road_ref","road_length_km","area_km2","fuel_or_material","capacity_value","capacity_unit","operator","activity_status","default_include","confidence_tier","officially_listed","data_origin","source_authority","official_reference_url","map_source_url","source_license","osm_type","osm_id","osm_last_edit_utc","inventory_retrieved_utc","rag_claim_scope","notes"
"osm-source-way-1163433895","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5339417,77.0346764,"POLYGON((77.0321310 28.5316701, 77.0323133 28.5328059, 77.0340514 28.5327918, 77.0344216 28.5354168, 77.0346254 28.5354121, 77.0355159 28.5370238, 77.0364010 28.5377873, 77.0369643 28.5376553, 77.0364654 28.5365667, 77.0364600 28.5362792, 77.0365834 28.5354686, 77.0363259 28.5332018, 77.0372218 28.5331688, 77.0371842 28.5316135, 77.0356983 28.5316230, 77.0355105 28.5312271, 77.0352262 28.5312082, 77.0344752 28.5300960, 77.0335901 28.5305343, 77.0335901 28.5307699, 77.0338207 28.5311328, 77.0338958 28.5316465, 77.0321310 28.5316701))","","",,0.181805,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1163433895","ODbL 1.0; © OpenStreetMap contributors","way",1163433895,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1182398042","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5661684,77.0792072,"POLYGON((77.0779669 28.5669701, 77.0780923 28.5669037, 77.0781803 28.5668844, 77.0782596 28.5668766, 77.0783509 28.5668844, 77.0784489 28.5669182, 77.0785480 28.5669685, 77.0786328 28.5670158, 77.0787285 28.5670410, 77.0788430 28.5670439, 77.0789421 28.5670284, 77.0790720 28.5669772, 77.0807255 28.5661816, 77.0804379 28.5652929, 77.0802435 28.5653410, 77.0803015 28.5655275, 77.0787946 28.5659056, 77.0787272 28.5656839, 77.0777293 28.5659010, 77.0777020 28.5659231, 77.0776888 28.5659548, 77.0777261 28.5666786, 77.0777447 28.5667286, 77.0777764 28.5667796, 77.0779669 28.5669701))","","",,0.033266,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1182398042","ODbL 1.0; © OpenStreetMap contributors","way",1182398042,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1182398043","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5665916,77.080252,"POLYGON((77.0788259 28.5673513, 77.0808073 28.5668790, 77.0808231 28.5669298, 77.0813589 28.5667972, 77.0817745 28.5658320, 77.0791523 28.5670903, 77.0790357 28.5671309, 77.0789223 28.5671609, 77.0788001 28.5671792, 77.0787296 28.5672189, 77.0788259 28.5673513))","","",,0.013518,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1182398043","ODbL 1.0; © OpenStreetMap contributors","way",1182398043,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1182580863","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5531206,77.126951,"POLYGON((77.1265238 28.5538671, 77.1277429 28.5536031, 77.1273823 28.5523740, 77.1261590 28.5526379, 77.1265238 28.5538671))","","",,0.017342,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1182580863","ODbL 1.0; © OpenStreetMap contributors","way",1182580863,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1182580864","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5515068,77.1276292,"POLYGON((77.1280734 28.5535315, 77.1293483 28.5532261, 77.1293440 28.5525097, 77.1299593 28.5524863, 77.1287216 28.5512391, 77.1278373 28.5506131, 77.1270003 28.5501607, 77.1260559 28.5497158, 77.1254206 28.5494820, 77.1252991 28.5499710, 77.1260130 28.5523136, 77.1275970 28.5519441, 77.1280734 28.5535315))","","",,0.0893,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1182580864","ODbL 1.0; © OpenStreetMap contributors","way",1182580864,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1184436450","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5979455,77.1861495,"POLYGON((77.1857121 28.5988755, 77.1870826 28.5983247, 77.1864001 28.5970156, 77.1852165 28.5974914, 77.1855669 28.5981634, 77.1853800 28.5982385, 77.1857121 28.5988755))","","",,0.021908,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1184436450","ODbL 1.0; © OpenStreetMap contributors","way",1184436450,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1201558784","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5768444,77.1940398,"POLYGON((77.1936528 28.5780269, 77.1943080 28.5780520, 77.1944269 28.5756619, 77.1937717 28.5756368, 77.1936528 28.5780269))","","",,0.017036,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1201558784","ODbL 1.0; © OpenStreetMap contributors","way",1201558784,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1201558785","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5788677,77.1953541,"POLYGON((77.1935946 28.5793860, 77.1936376 28.5782482, 77.1971136 28.5783494, 77.1970706 28.5794872, 77.1935946 28.5793860))","","",,0.04299,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1201558785","ODbL 1.0; © OpenStreetMap contributors","way",1201558785,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1201558786","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5774792,77.1930608,"POLYGON((77.1926383 28.5793702, 77.1933402 28.5793905, 77.1934833 28.5755882, 77.1927814 28.5755678, 77.1926383 28.5793702))","","",,0.02901,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1201558786","ODbL 1.0; © OpenStreetMap contributors","way",1201558786,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
"osm-source-way-1201558787","construction","mapped_construction_area","Unnamed mapped mapped construction area","OSM-mapped mapped construction area used as source context.","area",28.5773637,77.1905181,"POLYGON((77.1908894 28.5792244, 77.1910654 28.5755369, 77.1901468 28.5755031, 77.1899707 28.5791906, 77.1908894 28.5792244))","","",,0.036846,"",,"","","mapped_construction_status_not_temporally_verified",False,"D",False,"OpenStreetMap","OpenStreetMap contributors","","https://www.openstreetmap.org/way/1201558787","ODbL 1.0; © OpenStreetMap contributors","way",1201558787,"","2026-07-17T00:00:00Z","Mapped construction context only; current activity was not verified, so exclude from default scoring.","Area centroid is for indexing; retain geometry_wkt for distance calculations."
